TIPO DE APOSENTADORIA / REGRA CONCEDIDA,MARCO DE INGRESSO,CAUSA DA INCAPACIDADE,DOENÇA CATALOGADA EM LEI?,PROVENTOS,FORMA DE CÁLCULO,INTEGRALIDADE OU PROPORCIONALIDADE?,PARIDADE?,SEXO,FORMA DE REAJUSTE,ARTIGOS CONSTITUCIONAIS e ECs INDICADOS,ARTIGOS ESTADUAIS INDICADOS,REQUISITOS DE IDADE,TEMPO DE CONTRIBUIÇÃO,TEMPO DE EFETIVO EXERCÍCIO NO MAGISTÉRIO,TEMPO NO SERVIÇO PÚBLICO,TEMPO NA CARREIRA,TEMPO NO CARGO,PONTOS / PEDÁGIO,MARCO TEMPORAL / DIREITO ADQUIRIDO,NATUREZA DA REGRA,FUNDAMENTAÇÃO,VALIDAÇÃO PGE-IPERON,VALIDAÇÃO PRESIDÊNCIA,,
"Aposentadoria especial de professor - art. 3º da EC nº 47/2005 c/c art. 40, §5º, CF",Ingresso no serviço público até 16/12/1998,"Não se aplica - aposentadoria voluntária, não decorrente de incapacidade",Não se aplica,Integrais,Integralidade da última remuneração,Integralidade,SIM,Feminino,"Paridade, com aplicação do art. 7º da EC nº 41/2003, por força do parágrafo único do art. 3º da EC nº 47/2005","artigo 40, §1º, inciso III, segunda parte, da Constituição Federal, com redação dada pela EC nº 103/2019; artigo 3º da EC nº 47/2005, combinado com o artigo 40, §5º, da Constituição Federal, com redação dada pela EC nº 20/1998; artigo 4º da EC Estadual nº 146/2021; RE nº 1.371.610/DF/STF","artigos 24, 46 e 63 da LCE nº 432/2008, como reforço estadual de redução do magistério, integralidade e paridade","Idade mínima base de 50 anos, com redução de 1 ano de idade para cada ano de contribuição que exceder 25 anos","25 anos, após aplicação do redutor constitucional do magistério","Tempo exclusivo de efetivo exercício das funções de magistério na educação infantil, no ensino fundamental e médio",25 anos,15 anos,5 anos,"Regra 85 adaptada ao magistério: idade + tempo de contribuição devem alcançar 75 pontos, considerando base reduzida; aplica-se a redução de 1 ano na idade para cada ano de contribuição que exceder 25 anos","Direito adquirido preservado pelo art. 4º da EC Estadual nº 146/2021, quando implementados os requisitos até 31/12/2024",Regra de transição/direito adquirido - conjugação EC nº 47/2005 + redutor do magistério - integralidade e paridade,"pela POSSIBILIDADE JURÍDICA da concessão do BENEFÍCIO DE APOSENTADORIA ESPECIAL DE PROFESSOR, com aplicação do redutor do magistério, ao(à) servidor(a) [NOME DO(A) SERVIDOR(A)], com proventos integrais (calculados com base na integralidade da última remuneração) e paridade, com fulcro no artigo 40, § 1º, inciso III, segunda parte, da Constituição Federal, com redação dada pela Emenda Constitucional nº 103/2019; artigo 3º da Emenda Constitucional nº 47/2005, combinado com o artigo 40, § 5º, da Constituição Federal, com redação dada pela Emenda Constitucional nº 20/1998, e o artigo 4º da Emenda Constitucional Estadual nº 146/2021; em observância ao RE nº 1.371.610/DF do Supremo Tribunal Federal.",False,False,,
"Aposentadoria especial de professor - art. 3º da EC nº 47/2005 c/c art. 40, §5º, CF",Ingresso no serviço público até 16/12/1999,"Não se aplica - aposentadoria voluntária, não decorrente de incapacidade",Não se aplica,Integrais,Integralidade da última remuneração,Integralidade,SIM,Masculino,"Paridade, com aplicação do art. 7º da EC nº 41/2003, por força do parágrafo único do art. 3º da EC nº 47/2005","artigo 40, §1º, inciso III, segunda parte, da Constituição Federal, com redação dada pela EC nº 103/2019; artigo 3º da EC nº 47/2005, combinado com o artigo 40, §5º, da Constituição Federal, com redação dada pela EC nº 20/1998; artigo 4º da EC Estadual nº 146/2021; RE nº 1.371.610/DF/STF","artigos 24, 46 e 63 da LCE nº 432/2008, como reforço estadual de redução do magistério, integralidade e paridade","Idade mínima base de 55 anos, com redução de 1 ano de idade para cada ano de contribuição que exceder 30 anos","30 anos, após aplicação do redutor constitucional do magistério","Tempo exclusivo de efetivo exercício das funções de magistério na educação infantil, no ensino fundamental e médio",25 anos,15 anos,5 anos,"Regra 95 adaptada ao magistério: idade + tempo de contribuição devem alcançar 85 pontos, considerando base reduzida; aplica-se a redução de 1 ano na idade para cada ano de contribuição que exceder 30 anos","Direito adquirido preservado pelo art. 4º da EC Estadual nº 146/2021, quando implementados os requisitos até 31/12/2024",Regra de transição/direito adquirido - conjugação EC nº 47/2005 + redutor do magistério - integralidade e paridade,"pela POSSIBILIDADE JURÍDICA da concessão do BENEFÍCIO DE APOSENTADORIA ESPECIAL DE PROFESSOR, com aplicação do redutor do magistério, ao(à) servidor(a) [NOME DO(A) SERVIDOR(A)],com proventos integrais (calculados com base na integralidade da última remuneração) e paridade, com fulcro no artigo 40, § 1º, inciso III, segunda parte, da Constituição Federal, com redação dada pela Emenda Constitucional nº 103/2019; artigo 3º da Emenda Constitucional nº 47/2005, combinado com o artigo 40, § 5º, da Constituição Federal, com redação dada pela Emenda Constitucional nº 20/1998, e o artigo 4º da Emenda Constitucional Estadual nº 146/2021; em observância ao RE nº 1.371.610/DF do Supremo Tribunal Federal.",False,False,,
Aposentadoria especial de professor - art. 6º da EC nº 41/2003 c/c LCE nº 432/2008,Ingresso no serviço público até 31/12/2003; direito adquirido preservado pelo art. 4º da EC Estadual nº 146/2021,"Não se aplica - aposentadoria voluntária, não decorrente de incapacidade",Não se aplica,Integrais,Cálculo por integralidade - última remuneração,Integralidade,SIM,Feminino,"Paridade, na forma do art. 63 da LCE nº 432/2008","artigo 40, § 1º, inciso III, segunda parte, da Constituição Federal, com redação dada pela EC nº 103/2019; artigo 4º da EC Estadual nº 146/2021; artigo 6º da EC nº 41/2003","artigos 24, 46 e 63 da LCE nº 432/2008",50 anos,25 anos,Tempo exclusivo de efetivo exercício das funções de magistério,20 anos,10 anos,5 anos,Não se aplica,"Requisitos preenchidos até 31/12/2024, se utilizada como direito adquirido",Regra de transição com integralidade e paridade,"pela POSSIBILIDADE JURÍDICA da concessão do benefício de Aposentadoria especial de professor, com base no artigo 6º da EC nº 41/2003 c/c LCE nº 432/2008, ao(à) servidor(a) [NOME DO(A) SERVIDOR(A)], com proventos integrais (cálculo por integralidade - última remuneração) e com paridade, com base no artigo 40, § 1º, inciso III, segunda parte, da Constituição Federal, com redação dada pela EC nº 103/2019; artigo 4º da EC Estadual nº 146/2021; artigo 6º da EC nº 41/2003; combinado com artigos 24, 46 e 63 da LCE nº 432/2008.",False,False,,
Aposentadoria especial de professor - art. 6º da EC nº 41/2003 c/c LCE nº 432/2008,Ingresso no serviço público até 31/12/2003; direito adquirido preservado pelo art. 4º da EC Estadual nº 146/2021,"Não se aplica - aposentadoria voluntária, não decorrente de incapacidade",Não se aplica,Integrais,Cálculo por integralidade - última remuneração,Integralidade,SIM,Masculino,"Paridade, na forma do art. 63 da LCE nº 432/2008","artigo 40, § 1º, inciso III, segunda parte, da Constituição Federal, com redação dada pela EC nº 103/2019; artigo 4º da EC Estadual nº 146/2021; artigo 6º da EC nº 41/2003","artigos 24, 46 e 63 da LCE nº 432/2008",55 anos,30 anos,Tempo exclusivo de efetivo exercício das funções de magistério,20 anos,10 anos,5 anos,Não se aplica,"Requisitos preenchidos até 31/12/2024, se utilizada como direito adquirido",Regra de transição com integralidade e paridade,"pela POSSIBILIDADE JURÍDICA da concessão do benefício de Aposentadoria especial de professor, com base no artigo  6º da EC nº 41/2003 c/c LCE nº 432/2008, ao(à) servidor(a) [NOME DO(A) SERVIDOR(A)], com proventos integrais (cálculo por integralidade - última remuneração) e com paridade, com base no artigo 40, § 1º, inciso III, segunda parte, da Constituição Federal, com redação dada pela EC nº 103/2019; artigo 4º da EC Estadual nº 146/2021; artigo 6º da EC nº 41/2003; combinado com artigos 24, 46 e 63 da LCE nº 432/2008.",False,False,,
Aposentadoria especial de professor - regra permanente da LCE nº 1.100/2021,"Regra permanente; para cálculo por integralidade/paridade, verificar enquadramento no art. 25 e art. 27, I, da LCE nº 1.100/2021","Não se aplica - aposentadoria voluntária, não decorrente de incapacidade",Não se aplica,Integrais,"Cálculo por integralidade - totalidade da remuneração, quando cabível",Integralidade,SIM,Feminino,"Paridade, na forma do art. 27, inciso I, da LCE nº 1.100/2021","artigo 40, § 1º, inciso III, segunda parte, e § 5º, da Constituição Federal, com redação dada pela EC nº 103/2019","artigos 25, 27, inciso I, 32 e 33 da LCE nº 1.100/2021",57 anos,25 anos,"Efetivo exercício exclusivamente nas funções de magistério na educação especial, infantil, fundamental e médio",10 anos,Não exige tempo de carreira específico,5 anos,Não se aplica,Regra permanente da aposentadoria especial de professor,Regra permanente com integralidade/paridade,"pela POSSIBILIDADE JURÍDICA da concessão do benefício de Aposentadoria especial de professor pela regra permanente da LCE nº 1.100/2021, ao(à) servidor(a) [NOME DO(A) SERVIDOR(A)], com proventos integrais (cálculo por integralidade -  - última remuneração) e com paridade, com base no artigo 40, § 1º, inciso III, segunda parte, e § 5º, da Constituição Federal, com redação dada pela EC nº 103/2019; combinado com artigos 25, 27, inciso I, 32 e 33 da LCE nº 1.100/2021.",False,False,,
Aposentadoria especial de professor - regra permanente da LCE nº 1.100/2021,"Regra permanente; para cálculo por integralidade/paridade, verificar enquadramento no art. 25 e art. 27, I, da LCE nº 1.100/2021","Não se aplica - aposentadoria voluntária, não decorrente de incapacidade",Não se aplica,Integrais,"Cálculo por integralidade - totalidade da remuneração, quando cabível",Integralidade,SIM,Masculino,"Paridade, na forma do art. 27, inciso I, da LCE nº 1.100/2021","artigo 40, § 1º, inciso III, segunda parte, e § 5º, da Constituição Federal, com redação dada pela EC nº 103/2019","artigos 25, 27, inciso I, 32 e 33 da LCE nº 1.100/2021",60 anos,25 anos,"Efetivo exercício exclusivamente nas funções de magistério na educação especial, infantil, fundamental e médio",10 anos,Não exige tempo de carreira específico,5 anos,Não se aplica,Regra permanente da aposentadoria especial de professor,Regra permanente com integralidade/paridade,"pela POSSIBILIDADE JURÍDICA da concessão do benefício de Aposentadoria especial de professor - regra permanente da LCE nº 1.100/2021, ao(à) servidor(a) [NOME DO(A) SERVIDOR(A)], com proventos integrais (cálculo por integralidade  - última remuneração) e com paridade, com base no artigo 40, § 1º, inciso III, segunda parte, e § 5º, da Constituição Federal, com redação dada pela EC nº 103/2019; combinado com artigos 25, 27, inciso I, 32 e 33 da LCE nº 1.100/2021.",False,False,,
Aposentadoria especial de professor - regra geral anterior da LCE nº 432/2008,Sem marco específico de ingresso; exige direito adquirido até 31/12/2024,"Não se aplica - aposentadoria voluntária, não decorrente de incapacidade",Não se aplica,Integrais,Cálculo por média - integralidade das médias,Integralidade,NÃO,Feminino,"Reajuste pelos índices aplicáveis ao RGPS, nos termos do art. 62 da LCE nº 432/2008","artigo 40, § 1º, inciso III, segunda parte, da Constituição Federal, com redação dada pela EC nº 103/2019; artigo 4º da EC Estadual nº 146/2021; artigo 40, § 1º, inciso III, alínea “a”, e § 5º, da Constituição Federal, com redação dada pela EC nº 20/1998; artigo 40, §§ 3º e 8º, da Constituição Federal, com redação dada pela EC nº 41/2003","artigos 24, 45 e 62 da LCE nº 432/2008",50 anos,25 anos,"Efetivo exercício das funções de magistério na educação especial, infantil, fundamental e médio",10 anos,Não exige tempo de carreira específico,5 anos,Não se aplica,Requisitos preenchidos até 31/12/2024,Regra geral anterior sem paridade,"pela POSSIBILIDADE JURÍDICA da concessão do benefício de Aposentadoria especial de professor pela regra geral, ao(à) servidor(a) [NOME DO(A) SERVIDOR(A)], com proventos integrais (cálculo por média - integralidade das médias) e sem paridade, com base no artigo 40, § 1º, inciso III, segunda parte, da Constituição Federal, com redação dada pela EC nº 103/2019; artigo 4º da EC Estadual nº 146/2021; artigo 40, § 1º, inciso III, alínea “a”, e § 5º, da Constituição Federal, com redação dada pela EC nº 20/1998; artigo 40, §§ 3º e 8º, da Constituição Federal, com redação dada pela EC nº 41/2003; combinado com artigos 24, 45 e 62 da LCE nº 432/2008.",False,False,,
Aposentadoria especial de professor - regra geral anterior da LCE nº 432/2008,Sem marco específico de ingresso; exige direito adquirido até 31/12/2024,"Não se aplica - aposentadoria voluntária, não decorrente de incapacidade",Não se aplica,Integrais,Cálculo por média - integralidade das médias,Integralidade,NÃO,Masculino,"Reajuste pelos índices aplicáveis ao RGPS, nos termos do art. 62 da LCE nº 432/2008","artigo 40, § 1º, inciso III, segunda parte, da Constituição Federal, com redação dada pela EC nº 103/2019; artigo 4º da EC Estadual nº 146/2021; artigo 40, § 1º, inciso III, alínea “a”, e § 5º, da Constituição Federal, com redação dada pela EC nº 20/1998; artigo 40, §§ 3º e 8º, da Constituição Federal, com redação dada pela EC nº 41/2003","artigos 24, 45 e 62 da LCE nº 432/2008",55 anos,30 anos,"Efetivo exercício das funções de magistério na educação especial, infantil, fundamental e médio",10 anos,Não exige tempo de carreira específico,5 anos,Não se aplica,Requisitos preenchidos até 31/12/2024,Regra geral anterior sem paridade,"pela POSSIBILIDADE JURÍDICA da concessão do benefício de Aposentadoria especial de professor pela regra geral, ao(à) servidor(a) [NOME DO(A) SERVIDOR(A)], com proventos integrais (cálculo por média - integralidade das médias) e sem paridade, com base no artigo 40, § 1º, inciso III, segunda parte, da Constituição Federal, com redação dada pela EC nº 103/2019; artigo 4º da EC Estadual nº 146/2021; artigo 40, § 1º, inciso III, alínea “a”, e § 5º, da Constituição Federal, com redação dada pela EC nº 20/1998; artigo 40, §§ 3º e 8º, da Constituição Federal, com redação dada pela EC nº 41/2003; combinado com artigos 24, 45 e 62 da LCE nº 432/2008.",False,False,,
Aposentadoria especial de professor - regra de transição do art. 6º da EC Estadual nº 146/2021 - integralidade/paridade,"Ingresso em cargo efetivo até 14/09/2021; para integralidade/paridade, observar o art. 6º, §2º, I, e §3º, I","Não se aplica - aposentadoria voluntária, não decorrente de incapacidade",Não se aplica,Integrais,Cálculo por integralidade - totalidade da remuneração,Integralidade,SIM,Feminino,"Paridade, conforme art. 6º, §3º, I, da EC Estadual nº 146/2021","artigo 40, § 1º, inciso III, segunda parte, da Constituição Federal, com redação dada pela EC nº 103/2019; artigo 40, §5º, da Constituição Federal, com redação dada pela EC nº 103/2019; artigo 6º, §1º e §§2º e 3º, incisos I, da EC Estadual nº 146/2021","Constituição Estadual, art. 250, §6º, quando indicado no sistema",52 anos,"25 anos, acrescido do período adicional de contribuição do art. 6º, IV, da EC Estadual nº 146/2021","Efetivo exercício exclusivamente nas funções de magistério na educação infantil, ensino fundamental e médio",20 anos,Não exige tempo de carreira específico,5 anos,"Período adicional de contribuição correspondente ao tempo que faltava, em 14/09/2021, para atingir 25 anos de contribuição",Regra de transição da EC Estadual nº 146/2021,Regra de transição com pedágio - integralidade/paridade,"pela POSSIBILIDADE JURÍDICA da concessão do benefício de Aposentadoria especial de professor pela regra de transição do art. 6º da EC Estadual nº 146/2021 - integralidade/paridade, ao(à) servidor(a) [NOME DO(A) SERVIDOR(A)], com proventos integrais (cálculo por integralidade - última remuneração) e com paridade, com base no artigo 40, § 1º, inciso III, segunda parte, da Constituição Federal, com redação dada pela EC nº 103/2019; artigo 40, §5º, da Constituição Federal, com redação dada pela EC nº 103/2019; artigo 6º, §1º e §§2º e 3º, incisos I, da EC Estadual nº 146/2021.",False,False,,
Aposentadoria especial de professor - regra de transição do art. 6º da EC Estadual nº 146/2021 - integralidade/paridade,"Ingresso em cargo efetivo até 14/09/2021; para integralidade/paridade, observar o art. 6º, §2º, I, e §3º, I","Não se aplica - aposentadoria voluntária, não decorrente de incapacidade",Não se aplica,Integrais,Cálculo por integralidade - totalidade da remuneração,Integralidade,SIM,Masculino,"Paridade, conforme art. 6º, §3º, I, da EC Estadual nº 146/2021","artigo 40, § 1º, inciso III, segunda parte, da Constituição Federal, com redação dada pela EC nº 103/2019; artigo 40, §5º, da Constituição Federal, com redação dada pela EC nº 103/2019; artigo 6º, §1º e §§2º e 3º, incisos I, da EC Estadual nº 146/2021","Constituição Estadual, art. 250, §6º, quando indicado no sistema",55 anos,"30 anos, acrescidos do período adicional de contribuição do art. 6º, IV","Efetivo exercício exclusivamente nas funções de magistério na educação infantil, ensino fundamental e médio",20 anos,Não exige tempo de carreira específico,5 anos,"Período adicional correspondente a 100% do tempo que faltava, em 14/09/2021, para atingir 30 anos",Regra de transição da EC Estadual nº 146/2021,Regra de transição com pedágio - integralidade/paridade,"pela POSSIBILIDADE JURÍDICA da concessão do benefício de Aposentadoria especial de professor pela regra de transição do art. 6º da EC Estadual nº 146/2021 - integralidade/paridade, ao(à) servidor(a) [NOME DO(A) SERVIDOR(A)], com proventos integrais (cálculo por integralidade - última remuneração) e com paridade, com base no artigo 40, § 1º, inciso III, segunda parte, da Constituição Federal, com redação dada pela EC nº 103/2019; artigo 40, §5º, da Constituição Federal, com redação dada pela EC nº 103/2019; artigo 6º, §1º e §§2º e 3º, incisos I, da EC Estadual nº 146/2021.",False,False,,
Aposentadoria especial de professor - regra de transição do art. 6º da EC Estadual nº 146/2021 - média/RGPS,"Ingresso em cargo efetivo até 14/09/2021; aplica-se quando não enquadrado na hipótese do art. 6º, §2º, I","Não se aplica - aposentadoria voluntária, não decorrente de incapacidade",Não se aplica,Integrais,Cálculo por média,Integralidade das médias,NÃO,Feminino,"Reajuste pelos índices aplicáveis ao RGPS, conforme art. 6º, §3º, II, da EC Estadual nº 146/2021","artigo 40, § 1º, inciso III, segunda parte, da Constituição Federal, com redação dada pela EC nº 103/2019; artigo 40, §5º, da Constituição Federal, com redação dada pela EC nº 103/2019; artigo 6º, §§1º e 2º, inciso II, e §3º, II, da EC Estadual nº 146/2021","Constituição Estadual, art. 250, §6º, quando indicado no sistema",52 anos,"25 anos, acrescidos do período adicional de contribuição do art. 6º, IV","Efetivo exercício exclusivamente nas funções de magistério na educação infantil, ensino fundamental e médio",20 anos,Não exige tempo de carreira específico,5 anos,"Período adicional correspondente a 100% do tempo que faltava, em 14/09/2021, para atingir 25 anos",Regra de transição da EC Estadual nº 146/2021,Regra de transição com pedágio - média/sem paridade,"pela POSSIBILIDADE JURÍDICA da concessão do benefício de Aposentadoria especial de professor pela de regra de transição do art. 6º da EC Estadual nº 146/2021, ao(à) servidor(a) [NOME DO(A) SERVIDOR(A)], com proventos integrais (cálculo por média) e sem paridade, com base no artigo 40, § 1º, inciso III, segunda parte, da Constituição Federal, com redação dada pela EC nº 103/2019; artigo 40, §5º, da Constituição Federal, com redação dada pela EC nº 103/2019; artigo 6º, §§1º e 2º, inciso II, e §3º, II, da EC Estadual nº 146/2021.",False,False,,
"Aposentadoria especial de professor - regra de transição com pedágio - EC Estadual nº 146/2021, art. 6º, média/RGPS","Ingresso em cargo efetivo até 14/09/2021; aplica-se quando não enquadrado na hipótese do art. 6º, §2º, I","Não se aplica - aposentadoria voluntária, não decorrente de incapacidade",Não se aplica,Integrais,Cálculo por média,Integralidade das médias,NÃO,Masculino,"Reajuste pelos índices aplicáveis ao RGPS, conforme art. 6º, §3º, II, da EC Estadual nº 146/2021","artigo 40, § 1º, inciso III, segunda parte, da Constituição Federal, com redação dada pela EC nº 103/2019; artigo 40, §5º, da Constituição Federal, com redação dada pela EC nº 103/2019; artigo 6º, §§1º e 2º, inciso II, e §3º, II, da EC Estadual nº 146/2021","Constituição Estadual, art. 250, §6º, quando indicado no sistema",55 anos,"30 anos, acrescidos do período adicional de contribuição do art. 6º, IV","Efetivo exercício exclusivamente nas funções de magistério na educação infantil, ensino fundamental e médio",20 anos,Não exige tempo de carreira específico,5 anos,"Período adicional correspondente a 100% do tempo que faltava, em 14/09/2021, para atingir 30 anos",Regra de transição da EC Estadual nº 146/2021,Regra de transição com pedágio - média/sem paridade,"pela POSSIBILIDADE JURÍDICA da concessão do benefício de Aposentadoria especial de professor pela de regra de transição do art. 6º da EC Estadual nº 146/2021, ao(à) servidor(a) [NOME DO(A) SERVIDOR(A)], com proventos integrais (cálculo por média) e sem paridade, com base no artigo 40, § 1º, inciso III, segunda parte, da Constituição Federal, com redação dada pela EC nº 103/2019; artigo 40, §5º, da Constituição Federal, com redação dada pela EC nº 103/2019; artigo 6º, §§1º e 2º, inciso II, e §3º, II, da EC Estadual nº 146/2021.",False,False,,
"Aposentadoria especial de professor - regra de transição por pontos - EC Estadual nº 146/2021, art. 5º, integralidade/paridade","Ingresso em cargo efetivo até 14/09/2021; para integralidade/paridade, observar o art. 5º, §6º, I, e §7º, I","Não se aplica - aposentadoria voluntária, não decorrente de incapacidade",Não se aplica,Integrais,Cálculo por integralidade - totalidade da remuneração,Integralidade,SIM,Feminino,"Paridade, conforme art. 5º, §7º, I, da EC Estadual nº 146/2021","artigo 40, § 1º, inciso III, segunda parte, da Constituição Federal, com redação dada pela EC nº 103/2019; artigo 40, §5º, da Constituição Federal, com redação dada pela EC nº 103/2019; artigo 5º, §§4º e 6º, inciso I, e §7º, I, da EC Estadual nº 146/2021","Constituição Estadual, art. 250, §6º, quando indicado no sistema",51 anos até 31/12/2022; 52 anos a partir de 01/01/2023,25 anos,"Efetivo exercício exclusivamente nas funções de magistério na educação infantil, ensino fundamental e médio",20 anos,Não exige tempo de carreira específico,5 anos,"81 pontos em 2021, acrescidos de 1 ponto por ano a partir de 2022, até 92 pontos",Regra de transição da EC Estadual nº 146/2021,Regra de transição por pontos - integralidade/paridade,"pela POSSIBILIDADE JURÍDICA da concessão do benefício de Aposentadoria especial de professor pela regra de transição por pontos da EC Estadual nº 146/2021, art. 5º, integralidade/paridade, ao(à) servidor(a) [NOME DO(A) SERVIDOR(A)], com proventos integrais (cálculo por integralidade - ultima remuneração) e com paridade, com base no artigo 40, § 1º, inciso III, segunda parte, da Constituição Federal, com redação dada pela EC nº 103/2019; artigo 40, §5º, da Constituição Federal, com redação dada pela EC nº 103/2019; artigo 5º, §§4º e 6º, inciso I, e §7º, I, da EC Estadual nº 146/2021; combinado com Constituição Estadual, art. 250, §6º.",False,False,,
"Aposentadoria especial de professor - regra de transição por pontos - EC Estadual nº 146/2021, art. 5º, integralidade/paridade","Ingresso em cargo efetivo até 14/09/2021; para integralidade/paridade, observar o art. 5º, §6º, I, e §7º, I","Não se aplica - aposentadoria voluntária, não decorrente de incapacidade",Não se aplica,Integrais,Cálculo por integralidade - totalidade da remuneração,Integralidade,SIM,Masculino,"Paridade, conforme art. 5º, §7º, I, da EC Estadual nº 146/2021","artigo 40, § 1º, inciso III, segunda parte, da Constituição Federal, com redação dada pela EC nº 103/2019; artigo 40, §5º, da Constituição Federal, com redação dada pela EC nº 103/2019; artigo 5º, §§4º e 6º, inciso I, e §7º, I, da EC Estadual nº 146/2021","Constituição Estadual, art. 250, §6º, quando indicado no sistema",56 anos até 31/12/2022; 57 anos a partir de 01/01/2023,30 anos,"Efetivo exercício exclusivamente nas funções de magistério na educação infantil, ensino fundamental e médio",20 anos,Não exige tempo de carreira específico,5 anos,"91 pontos em 2021, acrescidos de 1 ponto por ano a partir de 2022, até 100 pontos",Regra de transição da EC Estadual nº 146/2021,Regra de transição por pontos - integralidade/paridade,"pela POSSIBILIDADE JURÍDICA da concessão do benefício de Aposentadoria especial de professor pela regra de transição por pontos da EC Estadual nº 146/2021, art. 5º, integralidade/paridade, ao(à) servidor(a) [NOME DO(A) SERVIDOR(A)], com proventos integrais (cálculo por integralidade - ultima remuneração) e com paridade, com base no artigo 40, § 1º, inciso III, segunda parte, da Constituição Federal, com redação dada pela EC nº 103/2019; artigo 40, §5º, da Constituição Federal, com redação dada pela EC nº 103/2019; artigo 5º, §§4º e 6º, inciso I, e §7º, I, da EC Estadual nº 146/2021; combinado com Constituição Estadual, art. 250, §6º.",False,False,,
"Aposentadoria especial de professor - regra de transição por pontos - EC Estadual nº 146/2021, art. 5º, média/RGPS","Ingresso em cargo efetivo até 14/09/2021; aplica-se quando não enquadrado na hipótese do art. 5º, §6º, I","Não se aplica - aposentadoria voluntária, não decorrente de incapacidade",Não se aplica,Integrais,Cálculo por média,Integralidade das médias,NÃO,Feminino,"Reajuste pelos índices aplicáveis ao RGPS, conforme art. 5º, §7º, II, da EC Estadual nº 146/2021","artigo 40, § 1º, inciso III, segunda parte, da Constituição Federal, com redação dada pela EC nº 103/2019; artigo 40, §5º, da Constituição Federal, com redação dada pela EC nº 103/2019; artigo 5º, §§4º e 6º, inciso II, e §7º, II, da EC Estadual nº 146/2021","Constituição Estadual, art. 250, §6º, quando indicado no sistema",51 anos até 31/12/2022; 52 anos a partir de 01/01/2023,25 anos,"Efetivo exercício exclusivamente nas funções de magistério na educação infantil, ensino fundamental e médio",20 anos,Não exige tempo de carreira específico,5 anos,"81 pontos em 2021, acrescidos de 1 ponto por ano a partir de 2022, até 92 pontos",Regra de transição da EC Estadual nº 146/2021,Regra de transição por pontos - média/sem paridade,"pela POSSIBILIDADE JURÍDICA da concessão do benefício de Aposentadoria especial de professor pela regra de transição por pontos da EC Estadual nº 146/2021, art. 5º, média/RGPS, ao(à) servidor(a) [NOME DO(A) SERVIDOR(A)], com proventos integrais (cálculo por média) e sem paridade, com base no artigo 40, § 1º, inciso III, segunda parte, da Constituição Federal, com redação dada pela EC nº 103/2019; artigo 40, §5º, da Constituição Federal, com redação dada pela EC nº 103/2019; artigo 5º, §§4º e 6º, inciso II, e §7º, II, da EC Estadual nº 146/2021; combinado com Constituição Estadual, art. 250, §6º.",False,False,,
"Aposentadoria especial de professor - regra de transição por pontos - EC Estadual nº 146/2021, art. 5º, média/RGPS","Ingresso em cargo efetivo até 14/09/2021; aplica-se quando não enquadrado na hipótese do art. 5º, §6º, I","Não se aplica - aposentadoria voluntária, não decorrente de incapacidade",Não se aplica,Integrais,Cálculo por média,Integralidade das médias,NÃO,Masculino,"Reajuste pelos índices aplicáveis ao RGPS, conforme art. 5º, §7º, II, da EC Estadual nº 146/2021","artigo 40, § 1º, inciso III, segunda parte, da Constituição Federal, com redação dada pela EC nº 103/2019; artigo 40, §5º, da Constituição Federal, com redação dada pela EC nº 103/2019; artigo 5º, §§4º e 6º, inciso II, e §7º, II, da EC Estadual nº 146/2021","Constituição Estadual, art. 250, §6º, quando indicado no sistema",56 anos até 31/12/2022; 57 anos a partir de 01/01/2023,30 anos,"Efetivo exercício exclusivamente nas funções de magistério na educação infantil, ensino fundamental e médio",20 anos,Não exige tempo de carreira específico,5 anos,"91 pontos em 2021, acrescidos de 1 ponto por ano a partir de 2022, até 100 pontos",Regra de transição da EC Estadual nº 146/2021,Regra de transição por pontos - média/sem paridade,"pela POSSIBILIDADE JURÍDICA da concessão do benefício de Aposentadoria especial de professor pela regra de transição por pontos da EC Estadual nº 146/2021, art. 5º, média/RGPS, ao(à) servidor(a) [NOME DO(A) SERVIDOR(A)], com proventos integrais (cálculo por média) e sem paridade, com base no artigo 40, § 1º, inciso III, segunda parte, da Constituição Federal, com redação dada pela EC nº 103/2019; artigo 40, §5º, da Constituição Federal, com redação dada pela EC nº 103/2019; artigo 5º, §§4º e 6º, inciso II, e §7º, II, da EC Estadual nº 146/2021; combinado com Constituição Estadual, art. 250, §6º.",False,False,,
